,Unnamed: 0,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,lon,lat,geometry
0,0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,-64.09,-64.77,POINT (-64.8 -64)
1,1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,-64.09,-64.77,POINT (-64.8 -64)
2,2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,-64.09,-64.77,POINT (-64.8 -64)
3,4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,-64.09,-64.77,POINT (-64.8 -64)
4,5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,-64.09,-64.77,POINT (-64.8 -64)
5,6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,-64.09,-64.77,POINT (-64.8 -64)
6,7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,-64.09,-64.77,POINT (-64.8 -64)
7,12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,-64.09,-64.77,POINT (-64.8 -64)
8,13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,-64.09,-64.77,POINT (-64.8 -64)
9,14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,-64.09,-64.77,POINT (-64.8 -64)
10,15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,-64.09,-64.77,POINT (-64.8 -64)
11,16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,-64.09,-64.77,POINT (-64.8 -64)
12,17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,-64.09,-64.77,POINT (-64.8 -64)
13,18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,-64.09,-64.77,POINT (-64.8 -64)
14,19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,-64.09,-64.77,POINT (-64.8 -64)
15,20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
16,21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
17,22,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
18,23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
19,24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
20,25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,-63.8,-65.43,POINT (-65.5 -64.8)
21,26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,-63.8,-65.43,POINT (-65.5 -64.8)
