,Unnamed: 0,city,country,date.utc,location,parameter,value,unit
0,0,Paris,FR,2019-06-21 00:00:00+00:00,FR04014,no2,20.0,µg/m³
1,1,Paris,FR,2019-06-20 23:00:00+00:00,FR04014,no2,21.8,µg/m³
2,2,Paris,FR,2019-06-20 22:00:00+00:00,FR04014,no2,26.5,µg/m³
3,3,Paris,FR,2019-06-20 21:00:00+00:00,FR04014,no2,24.9,µg/m³
4,4,Paris,FR,2019-06-20 20:00:00+00:00,FR04014,no2,21.4,µg/m³
5,5,Paris,FR,2019-06-20 19:00:00+00:00,FR04014,no2,25.3,µg/m³
6,6,Paris,FR,2019-06-20 18:00:00+00:00,FR04014,no2,23.9,µg/m³
7,7,Paris,FR,2019-06-20 17:00:00+00:00,FR04014,no2,23.2,µg/m³
8,8,Paris,FR,2019-06-20 16:00:00+00:00,FR04014,no2,19.0,µg/m³
9,9,Paris,FR,2019-06-20 15:00:00+00:00,FR04014,no2,19.3,µg/m³
10,10,Paris,FR,2019-06-20 14:00:00+00:00,FR04014,no2,20.1,µg/m³
11,11,Paris,FR,2019-06-20 13:00:00+00:00,FR04014,no2,19.4,µg/m³
12,12,Paris,FR,2019-06-19 10:00:00+00:00,FR04014,no2,26.6,µg/m³
13,13,Paris,FR,2019-06-19 09:00:00+00:00,FR04014,no2,27.3,µg/m³
14,14,Paris,FR,2019-06-18 22:00:00+00:00,FR04014,no2,39.3,µg/m³
15,15,Paris,FR,2019-06-18 21:00:00+00:00,FR04014,no2,23.1,µg/m³
16,16,Paris,FR,2019-06-18 20:00:00+00:00,FR04014,no2,17.0,µg/m³
17,17,Paris,FR,2019-06-18 19:00:00+00:00,FR04014,no2,15.3,µg/m³
18,18,Paris,FR,2019-06-18 08:00:00+00:00,FR04014,no2,49.6,µg/m³
19,19,Paris,FR,2019-06-18 07:00:00+00:00,FR04014,no2,52.6,µg/m³
20,20,Paris,FR,2019-06-18 06:00:00+00:00,FR04014,no2,51.4,µg/m³
21,21,Paris,FR,2019-06-18 05:00:00+00:00,FR04014,no2,33.8,µg/m³
22,22,Paris,FR,2019-06-18 04:00:00+00:00,FR04014,no2,26.5,µg/m³
23,23,Paris,FR,2019-06-18 03:00:00+00:00,FR04014,no2,45.5,µg/m³
24,24,Paris,FR,2019-06-18 02:00:00+00:00,FR04014,no2,39.8,µg/m³
25,25,Paris,FR,2019-06-18 01:00:00+00:00,FR04014,no2,60.1,µg/m³
26,26,Paris,FR,2019-06-18 00:00:00+00:00,FR04014,no2,66.2,µg/m³
27,27,Paris,FR,2019-06-17 23:00:00+00:00,FR04014,no2,73.3,µg/m³
28,28,Paris,FR,2019-06-17 22:00:00+00:00,FR04014,no2,51.0,µg/m³
29,29,Paris,FR,2019-06-17 21:00:00+00:00,FR04014,no2,38.3,µg/m³
30,30,Paris,FR,2019-06-17 20:00:00+00:00,FR04014,no2,20.5,µg/m³
31,31,Paris,FR,2019-06-17 19:00:00+00:00,FR04014,no2,15.2,µg/m³
32,32,Paris,FR,2019-06-17 18:00:00+00:00,FR04014,no2,15.4,µg/m³
33,33,Paris,FR,2019-06-17 17:00:00+00:00,FR04014,no2,14.9,µg/m³
34,34,Paris,FR,2019-06-17 16:00:00+00:00,FR04014,no2,11.9,µg/m³
35,35,Paris,FR,2019-06-17 15:00:00+00:00,FR04014,no2,13.1,µg/m³
36,36,Paris,FR,2019-06-17 14:00:00+00:00,FR04014,no2,11.5,µg/m³
37,37,Paris,FR,2019-06-17 13:00:00+00:00,FR04014,no2,9.6,µg/m³
38,38,Paris,FR,2019-06-17 12:00:00+00:00,FR04014,no2,10.1,µg/m³
39,39,Paris,FR,2019-06-17 11:00:00+00:00,FR04014,no2,15.2,µg/m³
40,40,Paris,FR,2019-06-17 10:00:00+00:00,FR04014,no2,16.0,µg/m³
41,41,Paris,FR,2019-06-17 09:00:00+00:00,FR04014,no2,30.4,µg/m³
42,42,Paris,FR,2019-06-17 08:00:00+00:00,FR04014,no2,51.6,µg/m³
43,43,Paris,FR,2019-06-17 07:00:00+00:00,FR04014,no2,54.4,µg/m³
44,44,Paris,FR,2019-06-17 06:00:00+00:00,FR04014,no2,52.3,µg/m³
45,45,Paris,FR,2019-06-17 05:00:00+00:00,FR04014,no2,44.8,µg/m³
46,46,Paris,FR,2019-06-17 04:00:00+00:00,FR04014,no2,45.7,µg/m³
47,47,Paris,FR,2019-06-17 03:00:00+00:00,FR04014,no2,49.1,µg/m³
48,48,Paris,FR,2019-06-17 02:00:00+00:00,FR04014,no2,53.1,µg/m³
49,49,Paris,FR,2019-06-17 01:00:00+00:00,FR04014,no2,58.8,µg/m³
50,50,Paris,FR,2019-06-17 00:00:00+00:00,FR04014,no2,69.3,µg/m³
51,51,Paris,FR,2019-06-16 23:00:00+00:00,FR04014,no2,67.3,µg/m³
52,52,Paris,FR,2019-06-16 22:00:00+00:00,FR04014,no2,56.6,µg/m³
53,53,Paris,FR,2019-06-16 21:00:00+00:00,FR04014,no2,42.7,µg/m³
54,54,Paris,FR,2019-06-16 20:00:00+00:00,FR04014,no2,23.3,µg/m³
55,55,Paris,FR,2019-06-16 19:00:00+00:00,FR04014,no2,14.4,µg/m³
56,56,Paris,FR,2019-06-16 18:00:00+00:00,FR04014,no2,12.3,µg/m³
57,57,Paris,FR,2019-06-16 17:00:00+00:00,FR04014,no2,11.8,µg/m³
58,58,Paris,FR,2019-06-16 16:00:00+00:00,FR04014,no2,9.2,µg/m³
59,59,Paris,FR,2019-06-16 15:00:00+00:00,FR04014,no2,8.4,µg/m³
60,60,Paris,FR,2019-06-16 14:00:00+00:00,FR04014,no2,8.1,µg/m³
61,61,Paris,FR,2019-06-16 13:00:00+00:00,FR04014,no2,8.7,µg/m³
62,62,Paris,FR,2019-06-16 12:00:00+00:00,FR04014,no2,11.2,µg/m³
63,63,Paris,FR,2019-06-16 11:00:00+00:00,FR04014,no2,12.9,µg/m³
64,64,Paris,FR,2019-06-16 10:00:00+00:00,FR04014,no2,8.7,µg/m³
65,65,Paris,FR,2019-06-16 09:00:00+00:00,FR04014,no2,9.4,µg/m³
66,66,Paris,FR,2019-06-16 08:00:00+00:00,FR04014,no2,9.9,µg/m³
67,67,Paris,FR,2019-06-16 07:00:00+00:00,FR04014,no2,10.2,µg/m³
68,68,Paris,FR,2019-06-16 06:00:00+00:00,FR04014,no2,11.6,µg/m³
69,69,Paris,FR,2019-06-16 05:00:00+00:00,FR04014,no2,14.0,µg/m³
70,70,Paris,FR,2019-06-16 04:00:00+00:00,FR04014,no2,11.7,µg/m³
71,71,Paris,FR,2019-06-16 03:00:00+00:00,FR04014,no2,11.2,µg/m³
72,72,Paris,FR,2019-06-16 02:00:00+00:00,FR04014,no2,11.4,µg/m³
73,73,Paris,FR,2019-06-16 01:00:00+00:00,FR04014,no2,12.8,µg/m³
74,74,Paris,FR,2019-06-16 00:00:00+00:00,FR04014,no2,16.5,µg/m³
75,75,Paris,FR,2019-06-15 23:00:00+00:00,FR04014,no2,22.6,µg/m³
76,76,Paris,FR,2019-06-15 22:00:00+00:00,FR04014,no2,20.1,µg/m³
77,77,Paris,FR,2019-06-15 21:00:00+00:00,FR04014,no2,17.2,µg/m³
78,78,Paris,FR,2019-06-15 20:00:00+00:00,FR04014,no2,15.2,µg/m³
79,79,Paris,FR,2019-06-15 19:00:00+00:00,FR04014,no2,14.2,µg/m³
80,80,Paris,FR,2019-06-15 18:00:00+00:00,FR04014,no2,14.0,µg/m³
81,81,Paris,FR,2019-06-15 17:00:00+00:00,FR04014,no2,11.1,µg/m³
82,82,Paris,FR,2019-06-15 16:00:00+00:00,FR04014,no2,10.7,µg/m³
83,83,Paris,FR,2019-06-15 15:00:00+00:00,FR04014,no2,10.5,µg/m³
84,84,Paris,FR,2019-06-15 14:00:00+00:00,FR04014,no2,9.6,µg/m³
85,85,Paris,FR,2019-06-15 13:00:00+00:00,FR04014,no2,9.0,µg/m³
86,86,Paris,FR,2019-06-15 12:00:00+00:00,FR04014,no2,9.4,µg/m³
87,87,Paris,FR,2019-06-15 11:00:00+00:00,FR04014,no2,11.1,µg/m³
88,88,Paris,FR,2019-06-15 10:00:00+00:00,FR04014,no2,12.1,µg/m³
89,89,Paris,FR,2019-06-15 09:00:00+00:00,FR04014,no2,14.0,µg/m³
90,90,Paris,FR,2019-06-15 08:00:00+00:00,FR04014,no2,17.6,µg/m³
91,91,Paris,FR,2019-06-15 07:00:00+00:00,FR04014,no2,24.1,µg/m³
92,92,Paris,FR,2019-06-15 06:00:00+00:00,FR04014,no2,35.8,µg/m³
93,93,Paris,FR,2019-06-15 02:00:00+00:00,FR04014,no2,33.9,µg/m³
94,94,Paris,FR,2019-06-15 01:00:00+00:00,FR04014,no2,29.0,µg/m³
95,95,Paris,FR,2019-06-15 00:00:00+00:00,FR04014,no2,29.6,µg/m³
96,96,Paris,FR,2019-06-14 23:00:00+00:00,FR04014,no2,32.1,µg/m³
97,97,Paris,FR,2019-06-14 22:00:00+00:00,FR04014,no2,35.3,µg/m³
98,98,Paris,FR,2019-06-14 21:00:00+00:00,FR04014,no2,55.0,µg/m³
99,99,Paris,FR,2019-06-14 20:00:00+00:00,FR04014,no2,41.9,µg/m³
100,100,Paris,FR,2019-06-14 19:00:00+00:00,FR04014,no2,25.0,µg/m³
101,101,Paris,FR,2019-06-14 18:00:00+00:00,FR04014,no2,19.0,µg/m³
